VTT job number,Spree phases,differences
204,156,48
203,155,48
202,154,48
201,153,48
200,152,48
199,151,48
198,150,48
197,149,48
196,148,48
195,147,48
194,146,48
193,145,48
192,144,48
191,143,48
190,142,48
189,141,48
188,140,48
187,139,48
186,138,48
185,137,48
184,136,48
183,135,48
182,134,48
181,133,48
180,132,48
179,131,48
178,130,48
177,129,48
176,128,48
175,127,48
174,126,48
173,125,48
172,124,48
171,123,48
170,122,48
169,121,48
168,120,48
167,119,48
166,118,48
165,117,48
164,116,48
163,115,48
162,114,48
161,113,48
160,112,48
159,111,48
158,110,48
157,109,48
156,108,48
155,107,48
154,106,48
153,105,48
152,104,48
151,103,48
150,102,48
149,101,48
148,100,48
147,99,48
146,98,48
145,97,48
144,96,48
143,95,48
142,94,48
141,93,48
140,92,48
139,91,48
138,90,48
137,89,48
136,88,48
135,87,48
134,86,48
133,85,48
132,84,48
131,83,48
130,82,48
129,81,48
128,80,48
127,79,48
126,78,48
125,77,48
124,76,48
123,75,48
122,74,48
121,73,48
120,72,48
119,71,48
118,70,48
117,69,48
116,68,48
115,67,48
114,66,48
113,65,48
112,64,48
111,63,48
110,62,48
109,61,48
108,60,48
107,59,48
106,58,48
105,57,48
104,56,48
103,55,48
102,54,48
101,53,48
100,52,48
99,51,48
98,50,48
97,49,48
96,47,49
95,46,49
94,45,49
93,44,49
92,43,49
91,42,49
90,41,49
89,40,49
88,39,49
87,38,49
86,37,49
85,36,49
84,35,49
83,34,49
82,33,49
81,32,49
80,31,49
79,30,49
78,29,49
77,28,49
76,27,49
75,26,49
74,25,49
73,24,49
72,23,49
71,22,49
70,21,49
69,20,49
68,19,49
67,18,49
66,17,
65,17,
64,16,
63,16,
62,15,
61,15,
60,14,
59,14,
58,13,
57,13,
56,12,
55,12,
54,11,
53,11,
52,10,
51,10,
50,9,
49,9,
48,9,
47,9,
46,8,
45,8,
44,8,
43,8,
42,7,
41,7,
40,7,
39,7,
38,6,
37,6,
36,6,
35,6,
34,6,
33,6,
32,5,
31,5,
30,5,
29,5,
28,5,
27,4,
26,4,
25,4,
24,4,
23,3,
22,3,
21,3,
20,3,
19,3,
18,3,
17,3,
16,2,
15,2,
14,2,
13,2,
12,2,
11,2,
10,2,
9,2,
8,2,
7,1,
6,1,
5,1,
4,1,
3,1,
2,1,
1,1,
